Transaction,Category
New wardrobe bought,Purchase
Grocery shopping at Migros,Personal/Errand Expenses
Monthly rent payment,Rent Payment
Paycheck,Income/Financial Payment
Electricity bill,Utility Bill Payment
Public transport monthly pass,Transportation Expense
Gym membership fee,Personal Expense
Birthday gift for sister,Personal/Social/Purchase
Dinner at Italian restaurant,Food and Dining
New winter jacket,Clothing purchase
Mobile phone bill,Bills and Expenses
Car insurance payment,Bill Payment
Grocery shopping at Coop,Personal/ Household Expense
Movie night with friends,Social Entertainment Event
Dentist appointment,Personal Health Service
Online course subscription,Digital Product Purchase
Quarterly tax payment,Tax Payment - Quarterly
New laptop purchase,Personal or Household Item
Haircut and styling,Personal Grooming Service
Home internet bill,Utility expense
Bookstore purchase,Personal Expense
Car maintenance service,Maintenance/Repair Services
Mother's Day gift,Gift
Grocery shopping at Aldi,Personal Daily Expenses
Concert tickets,Entertainment Purchase
Fitness tracker purchase,Health and Wellness
Summer vacation booking,Travel/Leisure Booking
Pharmacy purchase,Healthcare Purchase
Restaurant dinner with partner,Social/Leisure Expense
New smartphone purchase,Purchase of Electronics
Health insurance premium,Medical Expense Payment
Grocery shopping at Lidl,Shopping Expense
Birthday party expenses,Entertainment and Recreation
Home decoration items,Home and Garden
Annual gym membership renewal,Personal or Household Expense
Back-to-school supplies,Education/Personal Expenses
Weekend getaway,Vacation expense
Dentist follow-up appointment,Medical Appointment
New work clothes,Personal Expense Purchase
New wardrobe bought,Purchase/Personal Expense
Paid Salt AG phone bill ,Bill Payment
